KEYWORD,CONTEXT,en,da,da notes,de,de notes,es,es notes,fa,fa notes,fr,fr notes,he,he notes,hu,hu notes,it,it notes,nl,nl notes,rk,redneck notes,ru,ru notes,vi,vi notes,zh-CHT,zh-CHT notes
MESSAGES_TITLE_ERROR,"In the preferences, this is the label above the error message choices.",Error Messages,Fejlmeddelelser,Google Translated,,,Mensajes de Error,,پیغام خطا,Google Translated,Messages d'erreur,,,,Hibaüzenetek,,Messaggi d'errore,,Foutmeldingen,,Fubar'd that one,,Сообщения об ошибках,,Báo lỗi,,錯誤訊息,
MESSAGES_TITLE_SUCCESS,"In the preferences, this is the label above the success message choices.",Success Messages,Succes Beskeder,Google Translated,,,Mensajes de Éxito,,پیام های موفقیت,Google Translated,Messages de succès,,,,Teljesítési üzenetek,,Messaggi di conferma,,Succes Berichten,,Blue Ribbon,,Сообщения успеха,,Báo thành công,,成功訊息,
MILLISECONDS_SHORT,When Scout-App successfully processes Sass files to CSS we output a message. When the user hovers over the message it states 'Project Name | Processed in 224 ms',ms,ms,,,,ms,,میلی ثانیه,Google Translated,ms,,,,ms,,ms,,ms,,ms,,ms,,mili giây,,毫秒,
MISSING_DATA,In the sidebar. A project cannot be run if it is missing an input or output folder. So we display an icon and this hover text as an explanation.,Missing input or output folder.,Mangler input eller output mappe.,,,,Ausencia de carpeta de entrada o salida,,فقدان ورودی و یا پوشه خروجی.,Google Translated,Entrée ou le dossier de sortie manquant.,,,,"Hiányzó bemeneti, vagy kimeneti mappa.",,Cartella di origine o di destinazione mancante,,Je mist een invoermap of een uitvoermap,,There ain't no damn input or output folder!,,папка вход или выход отсутствует,,Thiếu thư mục đầu vào hoặc đầu ra.,,找不到輸入或輸出資料夾,
MULTI_IMPORT_BUTTON,"In the File menu, if you click ""Multi-Project Import"", a modal appears. This button is at the bottom.",Import {{0}} Projects,Importer {{0}} Projekter,Google Translated,,,Importar {{0}} Proyectos,,,,Importer {{0}} Projets,Google Translated,,,{{0}} projekt importálása,,Importa {{0}} progetti,Google Translated,Importeer {{0}} Projecten,Google Translated,"{{0}} Projects, let's roll",,Импорт {{0}} проектов,Google Translated,Nhập {{0}} dự án,,匯入 {{0}} 個專案,
MULTIPROJECT_IMPORT,"Under 'File' in the nav bar, this is an option. It opens a modal to import multiple projects at once.",Multi-Project Import,Importer Flere Projekter,Google Translated,,,Importación de Múltiples Proyectos,,,,Importation de Projets Multiples,Google Translated,,,Több projekt importálása,,Importa Progetto Multipla,Google Translated,Importeer meerdere projecten,Google Translated,Pull in a buncha projects,,Импорт нескольких проектов,Google Translated,Nhập dự án hàng loạt,,匯入多個專案,
NEW_PROJECT,"Under 'File' in the nav bar, this is an option. It lets the user browse for a project folder to add to Scout-App.",New Project,Nyt projekt,,,,Nuevo Proyecto,,پروژه جدید,Google Translated,Nouveau Projet,,,,Új projekt,,Nuovo processo,,Nieuw Project,,Start a whole new project,,новый проект,,Dự án mới,,新增專案,
NO_SASS_FILES,"When the user runs a project, but its input folder doesn't have any Sass files that can be processed, this error message is displayed.",This project's input folder contains no Sass files that can be processed.,"Dette projekt input mappe indeholder ingen Sass filer, der kan behandles.",Google Translated,,,La carpeta de entrada de este proyecto no contiene archivos Sass que se pueden procesar.,,پوشه ورودی این پروژه شامل هیچ فایل بی احترامی صحبت کردن است که می تواند پردازش شده است.,Google Translated,Le dossier d'entrée de ce projet ne contient aucun fichier Sass pouvant être traité.,,,,A projekt bemeneti mappájában nem találhatók sass fájlok.,,Cartella di input di questo progetto non contiene file Sass che possono essere elaborati.,Google Translated,Folder van dit project ingang bevat geen Sass bestanden die kunnen worden verwerkt.,Google Translated,Ya done goofed. You ain't got no files in your input folder.,,"Папка ввода данного проекта не содержит файлов Sass, которые могут быть обработаны.",,Thư mục đầu vào của dự án này không chứa tệp Sass mà có thể xử lý được.,,專案中的輸入資料夾找不到任何 Sass 檔案,
NOTIFICATIONS_CHOICE,"In the preferences modal, this is the label above the notification settings.",Notifications,Underretninger,Google Translated,,,Notificaciones,,اطلاعیه,Google Translated,Notifications,,,,Értesítések,,Notifiche,,Meldingen,,Squawkin' and carryin' on,,Уведомления,,Thông báo,,通知,
OUTPUT_COMPACT,"In the project settings view, there is a setting for the level of compression for the outputted CSS. This is one of the options.",Compact,Kompakt,,,,Compacto,,جمع و جور,Google Translated,Compact,,,,Kompakt,,Compatto,,Compact,,Make It Small,,компактный,,Gọn gàng,,簡潔,
OUTPUT_COMPRESSED,"In the project settings view, there is a setting for the level of compression for the outputted CSS. This is one of the options.",Compressed,Komprimeret,,,,Comprimido,,فشرده,Google Translated,Compressé,,,,Tömörített,,Compresso,,Gecomprimeerd,,Compress it too,,Сжатый,,Nén,,壓縮,
OUTPUT_EXPANDED,"In the project settings view, there is a setting for the level of compression for the outputted CSS. This is one of the options.",Expanded,Expanded,?,,,Expandido,,منبسط,Google Translated,Étendu,,,,Kiterjesztett,,Espanso,Or: Verboso.,Uitgebreid,,Make it bigger,,расширенный,,Mở rộng,,擴展,
OUTPUT_FOLDER,"In the project settings view, this is the label for the input field where the user sets their project's CSS folder",Output Folder:,Output mappe:,,,,Carpeta de Salida:,,پوشه خروجی:,Google Translated,Dossier de Sortie:,,,,Kimeneti mappa:,,Cartella di destinazione:,,Uitvoermap,,Output Folder:,,папка вывода,,Đầu ra (CSS):,,輸出資料夾:,
OUTPUT_NESTED,"In the project settings view, there is a setting for the level of compression for the outputted CSS. This is one of the options.",Nested,Nested,?,,,Anidado,,تو در تو,Google Translated,Imbriqué,,,,Beágyazott,,Annidato,,Genesteld,,Nested,,вложенные,,Lồng nhau,,嵌套,
OUTPUT_STYLE,"In the project settings view, there is a dropdown to pick the level of compression to use for outputted CSS files. This is the first option and the hover text.",Output Style,Output stil,,,,Estilo de Salida,,گزینه خروجی,Google Translated,Style de Sortie,,,,A kimeneti CSS fájl stílusa,,Stile del codice prodotto,"Output is also understandable, you can use Stile dell'output instead",Uitvoer Stijl,,Output Style,,стиль вывода,,Kiểu đầu ra,,輸出類型,
OUTPUT_WARNING,In the project settings view. This is a warning message displayed when the user's input and output folders match or the output is a subfolder of the input.,Output can't match or be a subfolder of input.,Output kan ikke være samme eller undermappe til input.,,,,La salida no puede coincidir o ser una subcarpeta de entrada.,,خروجی نمی تواند مسابقه و یا یک زیر پوشه از ورودی.,Google Translated,La sortie peut ne pas correspondre ou être un sous-dossier de l'entrée.,,,,"A kimeneti hely nem megfelelő, vagy a bemenet egy almappája.",,"La cartella di destinazione e di origine devono essere cartelle separate, non possono essere nè la stessa, nè essere sottocartelle.",,Uitvoer kan niet/hetzelfde zijn als de submap of invoer,,Output can't match or be a subfolder of input.,,Выход не может совпадать или быть вложенной B ввода.,,Đầu vào không hợp lệ hoặc là thư mục con của đầu ra.,,輸出不能和輸入使用同一資料夾或是其子資料夾,
PREFERENCES,In the File menu of the Nav Bar. This is a menu item that will show the Preferences modal if clicked.,Preferences,Indstillinger,,,,Preferencias,,تنظیمات,Google Translated,Préférences,,,,Beállítások,,Preferenze,,Instellingen,Actually means 'settings',Preferences,,предпочтения,,Tùy chọn,,偏好設定,
PROCESSED_IN_DURATION,When Scout-App successfully processes Sass files to CSS we output a message. When the user hovers over the message it states 'Project Name | Processed in 224 ms',Processed in {{duration}},Behandlet på {{duration}},,,,Procesado en {{duration}},,پردازش در {{duration}},Google Translated,Transformé en {{duration}},,,,{{duration}} alatt feldolgozva,,Processato in {{duration}},,Verwerkt in {{duration}},,Processed in {{duration}},,Переработанные в {{duration}},,Xử lý trong {{duration}},,處理時間: {{duration}},
PRODUCTION,"In the project settings view, under the Enivornment section the user can select either 'Development' or 'Production'. Which effects how their CSS will be outputted. Either with Sass mapping and line comments or without.",Production,Produktion,,,,Producción,,تولید,Google Translated,Production,,,,Produkciós,,Produzione,,Productie,,Production,,производство,,Thực tế,,上線,
PROJECT_CONTROLS,In the sidebar this is hidden text used for those who are visually impaired. It references the buttons below the listing of projects,Project Controls,Projekt knapper,,,,Controles del Proyecto,,کنترل پروژه,Google Translated,Contrôle de Projets,,,,Projekt vezérlők,,Controlli del progetto,,Project controles,,Project Controls,,Регуляторы проекта,,Project Controls,,專案控制,
PROJECT_ICON,"In the project settings view, this is the alternative text for the project's icon for those who are visually impaired.",Project Icon,Projekt ikon,,,,Icono del Proyecto,,نماد پروژه,Google Translated,Icône du Projet,,,,Projekt ikon,,Icona del progetto,,Project Icoon,,Project Icon,,Иконка для проекта,,Project Icon,,專案圖示,
SCOUTAPP_LOGO,This is alternative text for the logo in the top left of the app for those using screen readers.,Scout-App Logo,Scout-App logo,,,,Logo de Scout-App,,لوگو پیشآهنگی برنامه,Google Translated,Scout-App Logo,,,,Scout-App logó,,Logo di Scout-App,,Scout-App Logo,,Scout-App Logo,,Cкаут-Aпп логотип,,Scout-App Logo,,Scout-App Logo,
SECONDS,When Scout-App successfully processes Sass files to CSS we output a message. When you hover over the message it states 'Project Name | Processed in 1.2 seconds' if it takes longer than 500 miliseconds.,seconds,sekunder,,,,segundos,,دومین,Google Translated,secondes,,,,másodperc,,secondi,,Seconden,,seconds,,секунд,,giây,,秒,
SELECT_DESELECT_ALL,"On the Multi-Project Import modal, the top most checkmark has this assistive text for the visually impaired.",Select/Deselect All,Vælg/Fravælg alle,Google Translated,,,Seleccionar/Deseleccionar todo,,,,Sélectionner/Désélectionner tout,,,,Mind kijelölése / Kijelölések törlése,,Selezionare/deselezionare tutti,Google Translated,Selecteer/Deselecteer alles,Google Translated,Check or uncheck everything,,Выбрать/Отменить все,,Chọn/Bỏ chọn tất cả,,全選/全不選,
SELECT_GROUP_FOLDER,"When your first run Scout-App, or when there are no projects imported, we show this helper text under the ""Add Group of Projects"" button.",select the group folder,vælge gruppen mappe,Google Translated,,,seleccione la carpeta del grupo,,,,sélectionnez le groupe de projets,,,,csoportot mappa kiválasztása,,selezionare la cartella di gruppo,Google Translated,selecteert u de map groep,Google Translated,pick out your group folder,,выберите папку группы,,chọn nhiều thư mục,,選擇專案群組資料夾,
SELECT_PROJECT_FOLDER,"When your first run Scout-App, or when there are no projects imported, we show this helper text under the ""Add a Project"" button.",select a project folder,vælg et projekt mappe,Google Translated,,,seleccione una carpeta de proyecto,,,,sélectionnez un dossier comme projet,,,,projekt mappa kiválasztása,,selezionare una cartella di progetto,Google Translated,selecteert u een map project,Google Translated,where's your project?,,выберите папку проекта,,chọn một thư mục,,選擇專案資料夾,
SERVER_DOWN,"In the About modal, after the user checks for updates, if there is no response, display this error.",Unable to reach update server. Try again later.,Opdateringsserver ikke tilgængelig. Prøv igen senere. ,,,,No se ha podido conectar con el servidor de actualización. Inténtelo de nuevo más tarde.,,قادر به رسیدن به سرور به روز رسانی. بعدا دوباره تلاش کنید.,Google Translated,Impossible d'accéder au serveur de mise à jour. Réessayez plus tard.,,,,Nem sikerült elérni a frissítési szervert! Próbálja meg később.,,"Imossibile raggiungere il server degli aggiornamenti, riprova più tardi.",,Niet in staat om de update server te berijken. Probeer het later nogmaals.,,Server's dead. Try again some other time.,,Невозможно получить доступ к серверу обновлений. Повторите попытку позже.,,Không thể kết nối đến máy chủ. Hãy thử lại sau.,,無法連結更新伺服器. 稍候再試,
STATUS,In the View menu of the Nav Bar. This is a menu item that will display the 'Status of all Projects' screen if clicked.,Status,Status,?,,,Estado,,وضعیت,Google Translated,Statut,,,,Státusz,,Stato,,Staat,,What's going on now?,,статус,,Trạng thái,,狀態,
STATUS_OF_ALL_PROJECTS,"This is the title of the 'Status of all Projects' screen, and is also used in the sidebar. This section displays all alerts and messages of projects that have been ran.",Status of all Projects,Status på alle projekter,,,,Estado de todos los Proyectos,,وضعیت تمام پروژه,Google Translated,Statut de tous les projets,,,,Projektek állapotai,,Stato dei progetti,,Staat van alle projecten,,How's everything going right now?,,статус всех проектов,,Trạng thái của tất cả dự án,,專案狀態,
STYLESHEET_CHOICE,In the Preferences modal. This is a label for the theme dropdown that lets the user change the visual look of Scout-App.,Theme:,Tema:,,,,Tema:,,سبک:,Google Translated,Style Visuel:,,,,Téma:,,Tema:,,Thema/Stijl,,Theme:,,визуальная тема,,Giao diện:,,佈景主題:,
STYLESHEET_DIRECTORIES,In the project settings view. This is a section heading that controls the way/format the user's CSS will be outputted.,Stylesheet Directories,Stylesheet mapper,,,,Directorios de Hojas de Estilo,,شیوه راهنماها,Google Translated,Répertoires des Feuilles de Style,,,,Stíluslap könyvtárak,,Cartelle degli stili,,Thema Directories,,Stylesheet Directories,,Каталог стилей,,Thư mục Stylesheet,,樣式表位置,
TOGGLE_NAVIGATION,When you resize Scout-App to be smaller the nav bar hides. This is hidden text for those with visual impairments.,Toggle navigation,Omskift navigation,,,,Cambiar modo de navegación,,سوئیچ ناوبری,Google Translated,Basculer la Navigation,,,,Lenyíló navigáció,,Cambia navigazione,,Toggle navigatie,,Show/Hide Navigation,,переключить навигацию,,Toggle navigation,,顯示/隱藏導覽列,
TRANSLATED_BY,In the Preferences modal. This is displayed under the Language dropdown and is followed by a the name of whoever translated that language.,Translated by:,Oversat af:,,,,Traducido por:,,ترجمه شده توسط:,Google Translated,Traduit par:,,,,Fordította:,,Tradotto da:,,Vertaald door:,,Translated by:,,Переведено:,,Được dịch bởi:,,翻譯:,
TRANSLATOR,Who wrote the translations for Scout-App,The Jared Wilcurt,Johan Holst Nielsen,,,,Ireneml.fr,,گوگل,Google Translated,"Stephan Raab, Arthur",,,,Somfai Tibor ( w3suli.com ),,Luca Paco Palomba,,Stephan Raab,,The Chris Lusk,,Daniel Golant,,Zzbaivong,,Hsin Cheng Lin (Luke),
TRANSLATOR_MEME,The alt text for the cultural image displayed when Scout-App's language is changed.,"Hank Hill, from King of the Hill saying ""I process Sass, and Sass Mixins"".","Hank Hill, fra King of the Hill siger 'I process Sass, and Sass Mixins'.",?,,,DEMASIADO CSS PUEDE SER LA PEOR DE LAS LOCURAS. VER CSS COMO ES Y NO COMO DEBERÍA SER.,,,Google Translated,"Daft Punk, avec leur chanson 'Harder, Better, Faster, SASSer'.",,,,Somfai Tibor - Web development is the best game. (A webfejlesztés a legjobb játék.),,Tower of Pisa: .italy{ .pisa{ .tower{ font-style:italic } } },,Denk je dat mijn Sass bestand te groot is? ...dat is letterlijk een walvis,,Don't Tread On Me flag.,,"Винни-Пух, с текстом 'А почему Сасс существует в этом мире? Для меня, чтобы использовать, по моему так'",,"Sass, đâu đâu cũng Sass",http://i.imgur.com/Ryhx7TS.jpg,"CSS 鄙視鏈: Sass, LESS > SMACSS, OOCSS > External, Internal CSS >>> inline CSS",
TRANSLATOR_URL,The URL that is opened when you click on the translator's name.,https://github.com/TheJaredWilcurt,http://phpgeek.dk,,,,http://ireneml.fr,,https://translate.google.com/#en/fa,,"https://github.com/StephanRaab, http://github.com/AnotherJavaCoder",,,,http://w3suli.com/,,https://github.com/lucapalomba,,https://github.com/StephanRaab,,http://www.56whiskeyclub.com,,https://github.com/BlackBetty,,https://baivong.github.io/,,https://hsinchenglin.com,
UPDATE_FOUND,"In the About modal, after the user checks for updates, if a newer version is found, display this message.",Update found!,Opdatering fundet.,,,,Actualización encontrada!,,به روز رسانی پیدا نشد!,Google Translated,Mise à jour trouvée!,,,,Frissítés elérhető!,,Nuovo aggiornamento!,,Update Gevonden!,,I found an update!,,Обновление найдено!,,Đã tìm thấy bản cập nhật!,,有新版本!,
VERSION,"In the About modal, this is the hover text for the version number.",Version,Version,,,,Versión,,نسخهی,Google Translated,Version,,,,Verzió,,Versione,,Versie,,Model,,Версия,,Phiên bản,,版本,
VIEW,Used in the nav bar,View,Vis,,,,Ver,,چشم انداز,Google Translated,Vue,,,,Nézet,,Visalizzazione,,Weergave,,Look At It,,Посмотреть,(jank),Hiển thị,,檢視,
VIEW_LATEST_RELEASE,If check for updates finds a new version,View latest release,Vis seneste udgivelsesmeddelelse,,,,Ver últimas modificaciones,,نمایش آخرین نسخه,Google Translated,Voir la dernière version,,,,Előző kiadások,,Visualizza l'ultimo rilascio,,Bekijk Nieuwste Release,,See lates model,,Посмотреть последний выпуск,(jank),Xem phiên bản mới nhất,,檢視最新版本,
WELCOME_MESSAGE,Larger header shown when you have no projects saved.,Welcome to Scout-App!,Velkommen til Scout-App!,,,,Bienvenido a Scout-App!,,به دیده بانی برنامه خوش آمدید!,Google Translated,Bienvenue dans Scout-App!,,,,Üdvözlet ez a Scout-App!,,Benvenuto su Scout-App,,Welkom tot de Scout-App!,,Well howdy buddy! Welcome to Scout-App!,,Добро пожаловать в Cкаут-Aпп!,,Chào mừng bạn đến Scout-App!,,歡迎使用 Scout-App!,
